# UBX-RXM-RAWX — Raw pseudorange measurements
# rcvTow	week	gnssId	svId	sigId	prMes	cpMes	doMes	cno	locktime	trkStat	group
209087.991	2413	0	12	0	21529765.440	113139680.891	-3220.2	26	0	0x01	sky
209087.991	2413	0	15	0	18110859.157	95173212.471	1595.8	33	64500	0x0f	sky
209087.991	2413	0	24	0	22770166.554	119658040.280	1584.1	25	64500	0x0f	sky
209087.991	2413	0	23	0	22423656.891	117837111.588	1060.3	22	0	0x01	sky
209087.991	2413	0	25	0	21457301.476	112758879.508	-2509.9	22	0	0x01	sky
209087.991	2413	0	20	0	17575790.057	92361399.774	-48.0	13	0	0x01	sky
209087.991	2413	0	3	0	-67463106.945	-354521013.296	-2828.4	30	7580	0x0f	synth
209087.991	2413	0	7	0	-65510380.809	-344259374.894	-4219.8	26	0	0x01	synth
209087.991	2413	0	8	0	-67257323.489	-353439621.382	-749.5	30	600	0x03	synth
209087.991	2413	0	23	3	22423659.782	91821137.694	819.4	16	0	0x01	sky
209088.991	2413	0	12	0	21530379.269	113142906.482	-3219.7	26	0	0x01	sky
209088.991	2413	0	15	0	18110555.624	95171617.177	1595.0	34	64500	0x0f	sky
209088.991	2413	0	24	0	22769865.961	119656456.350	1584.5	26	64500	0x0f	sky
209088.991	2413	0	23	0	22423454.940	117836050.563	1050.4	23	0	0x01	sky
209088.991	2413	0	25	0	21457778.757	112761388.093	-2507.1	23	0	0x01	sky
209088.991	2413	0	20	0	17575798.683	92361444.481	-44.7	15	0	0x01	sky
209088.991	2413	0	3	0	-67462570.158	-354518199.452	-2832.7	30	0	0x01	synth
209088.991	2413	0	7	0	-65509577.110	-344255151.356	-4229.2	26	0	0x01	synth
209088.991	2413	0	8	0	-67257178.751	-353438859.951	-761.2	30	20	0x01	synth
209088.991	2413	0	23	3	22423457.715	91820310.547	829.7	15	0	0x01	sky
209089.991	2413	0	12	0	21530992.409	113146127.793	-3220.4	26	0	0x01	sky
209089.991	2413	0	15	0	18110252.168	95170022.176	1594.5	34	64500	0x0f	sky
209089.991	2413	0	24	0	22769565.106	119654871.841	1584.9	25	64500	0x0f	sky
209089.991	2413	0	23	0	22423253.011	117834989.845	1056.0	22	0	0x01	sky
209089.991	2413	0	25	0	21458255.278	112763891.814	-2517.2	22	0	0x01	sky
209089.991	2413	0	20	0	17575806.126	92361483.679	-46.3	15	0	0x01	sky
209089.991	2413	0	3	0	-67462025.360	-354515336.718	-2836.7	30	400	0x03	synth
209089.991	2413	0	7	0	-65508771.257	-344250916.905	-4223.9	26	0	0x01	synth
209089.991	2413	0	8	0	-67257033.404	-353438101.227	-743.8	30	1020	0x03	synth
209089.991	2413	0	23	3	22423255.646	91819483.112	832.5	16	0	0x01	sky
209090.991	2413	0	12	0	21531605.933	113149351.913	-3219.8	26	0	0x01	sky
209090.991	2413	0	15	0	18109948.701	95168427.572	1594.1	34	64500	0x0f	sky
209090.991	2413	0	24	0	22769262.383	119653281.379	1584.6	25	0	0x01	sky
209090.991	2413	0	23	0	22423051.508	117833930.456	1060.4	23	0	0x01	sky
209090.991	2413	0	25	0	21458731.000	112766392.424	-2510.7	23	0	0x01	sky
209090.991	2413	0	20	0	17575813.527	92361522.597	-42.2	14	0	0x01	sky
209090.991	2413	0	3	0	-67461483.577	-354512489.306	-2835.2	30	200	0x03	synth
209090.991	2413	0	7	0	-65507964.439	-344246676.963	-4223.0	26	0	0x01	synth
209090.991	2413	0	8	0	-67256887.670	-353437330.678	-749.0	30	200	0x03	synth
209090.991	2413	0	23	3	22423056.130	91818665.731	816.8	16	0	0x01	sky
209091.991	2413	0	12	0	21532218.332	113152570.671	-3219.1	26	0	0x01	sky
209091.991	2413	0	15	0	18109645.233	95166833.196	1594.3	34	64500	0x0f	sky
209091.991	2413	0	24	0	22768961.581	119651699.958	1585.8	25	0	0x01	sky
209091.991	2413	0	23	0	22422849.777	117832870.400	1061.7	23	0	0x01	sky
209091.991	2413	0	25	0	21459208.892	112768903.709	-2512.3	23	0	0x01	sky
209091.991	2413	0	20	0	17575823.007	92361573.224	-51.4	15	0	0x01	sky
209091.991	2413	0	3	0	-67460939.786	-354509632.199	-2845.1	30	0	0x01	synth
209091.991	2413	0	7	0	-65507159.334	-344242446.478	-4235.9	26	0	0x01	synth
209091.991	2413	0	8	0	-67256742.620	-353436568.782	-764.8	30	0	0x01	synth
209091.991	2413	0	23	3	22422856.299	91817847.468	826.2	17	0	0x01	sky
209092.991	2413	0	12	0	21532830.445	113155787.116	-3220.7	26	0	0x01	sky
209092.991	2413	0	15	0	18109341.887	95165239.146	1594.0	34	64500	0x0f	sky
209092.991	2413	0	24	0	22768659.510	119650112.974	1586.3	25	0	0x01	sky
209092.991	2413	0	23	0	22422650.445	117831822.499	1053.7	23	0	0x01	sky
209092.991	2413	0	25	0	21459687.432	112771417.773	-2501.8	23	0	0x01	sky
209092.991	2413	0	20	0	17575834.551	92361632.997	-103.3	14	0	0x01	sky
209092.991	2413	0	3	0	-67460397.062	-354506779.545	-2847.4	31	540	0x03	synth
209092.991	2413	0	7	0	-65506355.328	-344238221.586	-4234.3	27	0	0x01	synth
209092.991	2413	0	8	0	-67256596.389	-353435799.965	-766.1	31	400	0x03	synth
209092.991	2413	0	23	3	22422657.036	91817031.454	826.3	17	0	0x01	sky
209093.991	2413	0	12	0	21533442.338	113159002.569	-3217.5	26	0	0x01	sky
209093.991	2413	0	15	0	18109038.617	95163645.543	1593.1	34	64500	0x0f	sky
209093.991	2413	0	24	0	22768358.189	119648529.572	1588.5	25	0	0x01	sky
209093.991	2413	0	23	0	22422448.974	117830763.656	1048.7	23	0	0x01	sky
209093.991	2413	0	25	0	21460163.741	112773921.464	-2511.6	23	0	0x01	sky
209093.991	2413	0	20	0	17575856.760	92361750.378	-134.5	13	0	0x01	sky
