# UBX-RXM-RAWX — Raw pseudorange measurements
# rcvTow	week	gnssId	svId	sigId	prMes	cpMes	doMes	cno	locktime	trkStat	group
212132.987	2413	0	12	0	21778386.629	114446193.976	-3811.7	20	0	0x01	sky
212132.987	2413	0	15	0	16208105.607	85174168.884	-1388.5	25	0	0x01	sky
212132.987	2413	0	25	0	21476103.011	112857682.571	-3707.8	25	0	0x01	sky
212132.987	2413	0	23	0	20501674.698	107737027.041	-680.3	19	0	0x01	sky
212132.987	2413	0	4	0	19247052.174	101143910.554	-3250.0	33	12000	0x0f	synth
212132.987	2413	0	3	0	18445334.031	96930884.369	-4073.3	34	0	0x01	synth
212132.987	2413	0	8	0	18649257.748	98002483.637	-1994.6	35	12000	0x0f	synth
212132.987	2413	0	29	0	17227237.697	90529744.288	-1517.6	23	0	0x01	sky
212132.987	2413	0	7	0	20399319.231	107199071.113	-5468.5	31	6000	0x0f	synth
212132.987	2413	0	23	3	20501687.096	83950980.763	-532.0	24	0	0x01	sky
212132.987	2413	0	25	3	21476107.299	87941068.851	-2889.7	26	0	0x01	sky
212133.987	2413	0	12	0	21779112.688	114450008.985	-3821.2	21	0	0x01	sky
212133.987	2413	0	15	0	16208369.424	85175556.182	-1390.5	24	0	0x01	sky
212133.987	2413	0	25	0	21476808.161	112861388.505	-3708.1	25	0	0x01	sky
212133.987	2413	0	23	0	20501804.005	107737706.293	-674.2	19	0	0x01	sky
212133.987	2413	0	4	0	19247672.998	101147203.375	-3267.7	33	220	0x03	synth
212133.987	2413	0	3	0	18446111.420	96934969.718	-4093.5	35	260	0x03	synth
212133.987	2413	0	8	0	18649639.593	98004517.302	-2013.8	34	260	0x03	synth
212133.987	2413	0	29	0	17227527.735	90531268.966	-1517.2	23	0	0x01	sky
212133.987	2413	0	7	0	20400358.059	107204604.406	-5479.9	30	160	0x03	synth
212133.987	2413	0	23	3	20501816.840	83951512.226	-532.3	25	0	0x01	sky
212133.987	2413	0	25	3	21476813.742	87943962.028	-2891.1	25	0	0x01	sky
212134.987	2413	0	12	0	21779839.001	114453825.811	-3822.1	21	0	0x01	sky
212134.987	2413	0	15	0	16208633.372	85176942.887	-1390.4	24	0	0x01	sky
212134.987	2413	0	25	0	21477514.367	112865099.155	-3709.2	25	0	0x01	sky
212134.987	2413	0	23	0	20501934.257	107738391.410	-678.1	19	0	0x01	sky
212134.987	2413	0	4	0	19248293.801	101150464.836	-3264.6	33	1220	0x03	synth
212134.987	2413	0	3	0	18446889.408	96939057.287	-4090.4	35	1260	0x03	synth
212134.987	2413	0	8	0	18650021.552	98006524.483	-2010.4	34	1260	0x03	synth
212134.987	2413	0	29	0	17227816.234	90532785.070	-1520.3	24	0	0x01	sky
212134.987	2413	0	7	0	20401401.555	107210088.087	-5478.8	30	100	0x03	synth
212134.987	2413	0	23	3	20501945.925	83952040.667	-532.5	25	0	0x01	sky
212134.987	2413	0	25	3	21477520.319	87946854.812	-2890.1	25	0	0x01	sky
212135.987	2413	0	12	0	21780566.802	114457650.672	-3816.7	22	0	0x01	sky
212135.987	2413	0	15	0	16208897.482	85178330.333	-1390.6	25	0	0x01	sky
212135.987	2413	0	25	0	21478217.991	112868796.679	-3707.2	25	0	0x01	sky
212135.987	2413	0	23	0	20502063.402	107739069.912	-677.8	19	0	0x01	sky
212135.987	2413	0	4	0	19248914.412	101153726.401	-3262.7	33	2220	0x03	synth
212135.987	2413	0	3	0	18447667.537	96943144.962	-4088.4	35	2260	0x03	synth
212135.987	2413	0	8	0	18650403.458	98008531.653	-2008.0	35	2260	0x03	synth
212135.987	2413	0	29	0	17228104.855	90534301.331	-1519.9	24	0	0x01	sky
212135.987	2413	0	7	0	20402447.962	107215586.936	-5475.8	31	500	0x03	synth
212135.987	2413	0	23	3	20502075.148	83952570.223	-531.1	24	0	0x01	sky
212135.987	2413	0	25	3	21478225.932	87949744.586	-2890.3	25	0	0x01	sky
212136.987	2413	0	12	0	21781294.152	114461472.821	-3816.7	21	0	0x01	sky
212136.987	2413	0	15	0	16209163.311	85179727.962	-1391.9	25	0	0x01	sky
212136.987	2413	0	25	0	21478922.408	112872498.810	-3708.2	25	0	0x01	sky
212136.987	2413	0	23	0	20502195.166	107739762.320	-690.8	18	0	0x01	sky
212136.987	2413	0	4	0	19249534.150	101156982.581	-3258.2	33	3220	0x07	synth
