# UBX-RXM-RAWX — Raw pseudorange measurements
# rcvTow	week	gnssId	svId	sigId	prMes	cpMes	doMes	cno	locktime	trkStat	group
291679.251	2412	0	7	0	20691936.690	108736860.911	-2492.5	35	6500	0x03	synth
291679.251	2412	0	8	0	21495371.229	112958937.634	-2025.2	34	6500	0x03	synth
291679.251	2412	0	12	0	-185174854852.445	-973100430137.171	-2471.1	25	0	0x01	sky
291679.251	2412	0	5	0	-185176417723.450	-973108643080.174	-572.7	25	0	0x01	sky
291679.251	2412	0	13	0	-185174953827.655	-973100950255.788	2354.6	25	0	0x01	sky
291680.251	2412	0	7	0	20692409.652	108739345.867	-2476.6	35	7500	0x03	synth
291680.251	2412	0	8	0	21495755.141	112960955.319	-2009.4	34	7500	0x03	synth
291680.251	2412	0	12	0	-185174854382.730	-973100427669.650	-2470.8	25	0	0x01	sky
291680.251	2412	0	5	0	-185176417614.959	-973108642509.711	-574.6	25	0	0x01	sky
291680.251	2412	0	13	0	-185174954275.921	-973100952611.841	2353.7	25	0	0x01	sky
291681.251	2412	0	7	0	20692881.772	108741827.127	-2476.0	35	8500	0x03	synth
291681.251	2412	0	8	0	21496138.396	112962969.398	-2008.5	34	8500	0x03	synth
291681.251	2412	0	12	0	-185174853912.899	-973100425199.775	-2472.7	25	0	0x01	sky
291681.251	2412	0	5	0	-185176417505.083	-973108641932.793	-575.8	25	0	0x01	sky
291681.251	2412	0	13	0	-185174954724.970	-973100954970.773	2352.7	25	0	0x01	sky
291682.251	2412	0	7	0	20693354.301	108744309.439	-2481.6	35	9500	0x03	synth
291682.251	2412	0	8	0	21496521.990	112964984.624	-2014.4	34	9500	0x03	synth
291682.251	2412	0	12	0	-185174853443.193	-973100422731.625	-2471.7	25	0	0x01	sky
291682.251	2412	0	5	0	-185176417395.704	-973108641357.581	-575.3	24	0	0x01	sky
291682.251	2412	0	13	0	-185174955172.964	-973100957325.614	2352.9	25	0	0x01	sky
291683.251	2412	0	7	0	20693825.638	108746786.428	-2469.8	35	10500	0x03	synth
291683.251	2412	0	8	0	21496904.525	112966994.548	-2002.4	34	10500	0x03	synth
291683.251	2412	0	12	0	-185174852972.281	-973100420257.128	-2473.0	25	0	0x01	sky
291683.251	2412	0	5	0	-185176417287.302	-973108640787.968	-577.4	25	0	0x01	sky
291683.251	2412	0	13	0	-185174955622.250	-973100959686.351	2354.1	25	0	0x01	sky
291684.251	2412	0	7	0	20694296.655	108749261.161	-2473.8	35	11500	0x03	synth
291684.251	2412	0	8	0	21497286.729	112969002.337	-2007.3	34	11500	0x03	synth
291684.251	2412	0	12	0	-185174852501.498	-973100417783.277	-2474.2	25	0	0x01	sky
291684.251	2412	0	5	0	-185176417177.015	-973108640208.966	-575.0	25	0	0x01	sky
291684.251	2412	0	13	0	-185174956070.374	-973100962040.882	2355.1	24	0	0x01	sky
291684.997	2412	0	7	0	20694647.970	108751106.530	-2475.7	35	12246	0x0f	synth
291684.997	2412	0	8	0	21497571.739	112970499.375	-2008.2	34	12246	0x0f	synth
291684.997	2412	0	12	0	-185174852149.906	-973100415935.290	-2473.9	25	0	0x01	sky
291684.997	2412	0	5	0	-185176417094.473	-973108639775.068	-577.4	24	0	0x01	sky
291684.997	2412	0	13	0	-185174956404.103	-973100963794.694	2353.4	24	0	0x01	sky
291685.997	2412	0	7	0	20695119.776	108753585.511	-2477.2	36	13246	0x0f	synth
291685.997	2412	0	8	0	21497954.614	112972511.621	-2011.0	34	13246	0x0f	synth
291685.997	2412	0	12	0	-185174851679.956	-973100413465.822	-2473.8	26	0	0x01	sky
291685.997	2412	0	5	0	-185176416984.367	-973108639196.443	-576.7	25	0	0x01	sky
291685.997	2412	0	13	0	-185174956850.409	-973100966140.112	2353.3	25	0	0x01	sky
291686.997	2412	0	7	0	20695590.090	108756056.405	-2458.3	35	14246	0x0f	synth
291686.997	2412	0	8	0	21498336.054	112974515.716	-1990.9	34	14246	0x0f	synth
291686.997	2412	0	12	0	-185174851209.520	-973100410993.951	-2473.1	26	0	0x01	sky
291686.997	2412	0	5	0	-185176416873.640	-973108638614.416	-576.8	25	0	0x01	sky
291686.997	2412	0	13	0	-185174957296.286	-973100968483.861	2354.2	25	0	0x01	sky
291687.997	2412	0	7	0	20696059.543	108758522.944	-2467.1	35	15246	0x0f	synth
291687.997	2412	0	8	0	21498716.654	112976515.633	-2000.0	34	15246	0x0f	synth
291687.997	2412	0	12	0	-185174850737.853	-973100408514.837	-2473.9	26	0	0x01	sky
291687.997	2412	0	5	0	-185176416764.831	-973108638042.204	-577.5	25	0	0x01	sky
291687.997	2412	0	13	0	-185174957741.250	-973100970822.075	2354.0	25	0	0x01	sky
291688.997	2412	0	7	0	20696528.334	108760986.339	-2466.5	35	16246	0x0f	synth
291688.997	2412	0	8	0	21499096.652	112978512.495	-2000.4	34	16246	0x0f	synth
291688.997	2412	0	12	0	-185174850266.866	-973100406040.301	-2474.8	26	0	0x01	sky
291688.997	2412	0	5	0	-185176416653.512	-973108637457.471	-578.6	25	0	0x01	sky
291688.997	2412	0	13	0	-185174958188.263	-973100973171.128	2354.6	25	0	0x01	sky
291689.997	2412	0	7	0	20696996.679	108763446.812	-2458.3	36	17246	0x0f	synth
291689.997	2412	0	8	0	21499476.046	112980506.461	-1991.8	34	17246	0x0f	synth
291689.997	2412	0	12	0	-185174849795.547	-973100403563.534	-2474.9	26	0	0x01	sky
291689.997	2412	0	5	0	-185176416544.898	-973108636886.503	-579.0	25	0	0x01	sky
291689.997	2412	0	13	0	-185174958636.062	-973100975524.185	2353.5	26	0	0x01	sky
291690.997	2412	0	7	0	20697463.683	108765905.626	-2447.9	36	0	0x01	synth
291690.997	2412	0	8	0	21499854.248	112982495.829	-1978.7	34	0	0x01	synth
291690.997	2412	0	12	0	-185174849324.905	-973100401090.417	-2475.2	27	0	0x01	sky
291690.997	2412	0	5	0	-185176416434.290	-973108636305.119	-578.4	25	0	0x01	sky
291690.997	2412	0	13	0	-185174959083.149	-973100977874.030	2353.4	26	0	0x01	sky
291691.997	2412	0	7	0	20697932.357	108768368.592	-2466.8	36	0	0x01	synth
291691.997	2412	0	8	0	21500234.666	112984495.516	-1994.8	34	340	0x03	synth
291691.997	2412	0	12	0	-185174848853.565	-973100398612.948	-2475.7	27	0	0x01	sky
291691.997	2412	0	5	0	-185176416325.150	-973108635732.421	-579.7	25	0	0x01	sky
291691.997	2412	0	13	0	-185174959529.961	-973100980221.843	2353.7	27	0	0x01	sky
292310.746	2412	0	7	0	185217189538.939	973322900415.288	-2470.7	36	340	0x03	synth
