# UBX-RXM-RAWX — Raw pseudorange measurements
# rcvTow	week	gnssId	svId	sigId	prMes	cpMes	doMes	cno	locktime	trkStat	group
372832.998	2412	0	5	0	21714495.863	114110375.327	2082.8	27	10180	0x0f	sky
372832.998	2412	0	13	0	24811723.789	130386487.853	1760.9	19	0	0x01	sky
372832.998	2412	0	21	0	19740985.676	103739579.787	666.6	24	0	0x01	sky
372832.998	2412	0	20	0	24760314.271	130116328.833	2021.1	21	0	0x01	sky
372832.998	2412	0	4	0	207502909.708	1090435143.937	-2120.8	43	34000	0x0f	synth
372832.998	2412	0	8	0	208292619.143	1094585098.336	1524.5	41	34000	0x0f	synth
372832.998	2412	0	3	0	206693873.336	1086183629.313	-2592.3	44	34000	0x0f	synth
372832.998	2412	0	7	0	208646474.991	1096444621.379	-4340.8	40	34000	0x07	synth
372832.998	2412	0	20	3	24760326.910	101389398.649	1575.7	20	0	0x01	sky
372833.998	2412	0	5	0	21714099.551	114108292.272	2082.6	26	11180	0x0f	sky
372833.998	2412	0	13	0	24811390.069	130384734.128	1758.0	19	0	0x01	sky
372833.998	2412	0	21	0	19740858.506	103738911.217	664.8	24	0	0x01	sky
372833.998	2412	0	20	0	24759929.688	130114308.348	2016.5	20	0	0x01	sky
372833.998	2412	0	4	0	207503314.190	1090437268.561	-2122.3	43	35000	0x0f	synth
372833.998	2412	0	8	0	208292329.904	1094583577.822	1522.9	41	35000	0x0f	synth
372833.998	2412	0	3	0	206694367.610	1086186226.007	-2594.4	44	35000	0x0f	synth
372833.998	2412	0	7	0	208647301.891	1096448966.425	-4342.8	40	35000	0x07	synth
372833.998	2412	0	20	3	24759942.797	101387826.457	1578.8	21	0	0x01	sky
372834.378	2412	0	5	0	-164157620.676	-862654119.468	2082.3	25	0	0x01	sky
372834.378	2412	0	13	0	-161060268.269	-846377422.895	1762.2	19	0	0x01	sky
372834.378	2412	0	21	0	-166130594.000	-873022164.025	665.9	24	0	0x01	sky
372834.378	2412	0	20	0	-161111778.168	-846648109.077	2020.1	20	0	0x01	sky
372834.378	2412	0	4	0	21632393.940	113678989.748	-2122.9	43	36000	0x0f	synth
372834.378	2412	0	8	0	22420715.950	117821653.554	1523.0	41	36000	0x0f	synth
372834.378	2412	0	3	0	20823537.183	109428419.166	-2594.8	44	36000	0x0f	synth
372834.378	2412	0	7	0	22776804.043	119692907.770	-4342.7	40	36000	0x07	synth
372834.378	2412	0	20	3	-161111766.548	-659725751.428	1578.3	21	0	0x01	sky
372835.378	2412	0	5	0	-164158017.679	-862656206.031	2082.8	24	0	0x01	sky
372835.378	2412	0	13	0	-161060603.363	-846379183.951	1763.8	19	0	0x01	sky
372835.378	2412	0	21	0	-166130721.479	-873022834.293	664.4	24	0	0x01	sky
372835.378	2412	0	20	0	-161112162.399	-846650128.144	2018.9	20	0	0x01	sky
372835.378	2412	0	4	0	21632797.855	113681111.877	-2116.8	43	37000	0x0f	synth
372835.378	2412	0	8	0	22420425.927	117820130.005	1528.9	41	37000	0x0f	synth
372835.378	2412	0	3	0	20824030.881	109431013.187	-2588.6	44	37000	0x0f	synth
372835.378	2412	0	7	0	22777630.294	119697249.856	-4336.8	40	37000	0x07	synth
372835.378	2412	0	20	3	-161112151.809	-659727329.958	1576.3	21	0	0x01	sky
372836.378	2412	0	5	0	-164158414.186	-862658289.720	2077.0	23	0	0x01	sky
372836.378	2412	0	13	0	-161060939.714	-846380951.049	1758.9	20	0	0x01	sky
372836.378	2412	0	21	0	-166130847.120	-873023494.419	664.2	25	0	0x01	sky
372836.378	2412	0	20	0	-161112547.147	-846652150.563	2024.7	22	0	0x01	sky
372836.378	2412	0	4	0	21633201.670	113683233.709	-2121.4	43	38000	0x0f	synth
372836.378	2412	0	8	0	22420135.960	117818605.883	1524.5	42	38000	0x0f	synth
372836.378	2412	0	3	0	20824524.420	109433606.844	-2593.2	45	38000	0x0f	synth
372836.378	2412	0	7	0	22778456.521	119701591.414	-4341.1	41	38000	0x07	synth
372836.378	2412	0	20	3	-161112535.386	-659728899.962	1576.4	22	0	0x01	sky
372837.378	2412	0	5	0	-164158811.766	-862660379.054	2083.9	22	0	0x01	sky
372837.378	2412	0	13	0	-161061276.484	-846382720.674	1756.0	21	0	0x01	sky
372837.378	2412	0	21	0	-166130972.851	-873024155.371	665.3	25	0	0x01	sky
372837.378	2412	0	20	0	-161112932.974	-846654177.302	2027.5	22	0	0x01	sky
372837.378	2412	0	4	0	21633605.578	113685356.181	-2123.8	44	39000	0x0f	synth
372837.378	2412	0	8	0	22419846.065	117817082.113	1522.9	42	39000	0x0f	synth
372837.378	2412	0	3	0	20825018.170	109436201.067	-2595.6	45	39000	0x0f	synth
372837.378	2412	0	7	0	22779282.841	119705933.397	-4343.2	41	39000	0x07	synth
372837.378	2412	0	20	3	-161112919.940	-659730474.492	1552.9	21	0	0x01	sky
372838.378	2412	0	5	0	-164159206.855	-862662455.364	2081.2	19	0	0x01	sky
372838.378	2412	0	13	0	-161061611.800	-846384482.654	1765.7	21	0	0x01	sky
372838.378	2412	0	21	0	-166131097.614	-873024810.937	661.7	25	0	0x01	sky
372838.378	2412	0	20	0	-161113319.316	-846656207.518	2024.9	22	0	0x01	sky
372838.378	2412	0	4	0	21634009.342	113687477.297	-2119.5	44	40000	0x0f	synth
372838.378	2412	0	8	0	22419555.837	117815556.768	1526.8	41	40000	0x0f	synth
372838.378	2412	0	3	0	20825511.729	109438793.883	-2591.6	45	40000	0x0f	synth
372838.378	2412	0	7	0	22780108.827	119710273.813	-4339.2	41	40000	0x07	synth
372838.378	2412	0	20	3	-161113304.405	-659732048.864	1579.2	21	0	0x01	sky
372839.378	2412	0	5	0	-164159603.658	-862664540.447	2080.1	16	0	0x01	sky
372839.378	2412	0	13	0	-161061949.034	-846386255.391	1765.7	21	0	0x01	sky
372839.378	2412	0	21	0	-166131220.626	-873025456.878	662.5	25	0	0x01	sky
372839.378	2412	0	20	0	-161113704.213	-846658230.882	2019.8	22	0	0x01	sky
372839.378	2412	0	4	0	21634412.662	113689596.849	-2113.2	43	41000	0x0f	synth
372839.378	2412	0	8	0	22419265.218	117814029.550	1533.7	41	41000	0x0f	synth
372839.378	2412	0	3	0	20826004.869	109441385.006	-2584.6	45	41000	0x0f	synth
372839.378	2412	0	7	0	22780934.467	119714612.408	-4332.1	41	41000	0x07	synth
372839.378	2412	0	20	3	-161113688.863	-659733623.657	1574.6	21	0	0x01	sky
372840.378	2412	0	5	0	-164160001.976	-862666633.346	2072.9	15	0	0x01	sky
372840.378	2412	0	13	0	-161062284.756	-846388019.600	1764.9	21	0	0x01	sky
372840.378	2412	0	21	0	-166131346.134	-873026117.209	662.6	26	0	0x01	sky
372840.378	2412	0	20	0	-161114088.479	-846660250.425	2024.5	22	0	0x01	sky
372840.378	2412	0	4	0	21634815.307	113691712.204	-2110.4	43	42000	0x0f	synth
372840.378	2412	0	8	0	22418973.732	117812497.885	1536.8	41	42000	0x0f	synth
372840.378	2412	0	3	0	20826497.172	109443971.907	-2582.1	44	42000	0x0f	synth
372840.378	2412	0	7	0	22781759.260	119718946.593	-4329.1	40	42000	0x07	synth
372840.378	2412	0	20	3	-161114073.553	-659735198.983	1571.0	20	0	0x01	sky
372841.378	2412	0	5	0	-164160400.147	-862668725.309	2082.5	16	0	0x01	sky
372841.378	2412	0	13	0	-161062620.778	-846389785.048	1769.3	21	0	0x01	sky
372841.378	2412	0	21	0	-166131470.930	-873026772.610	662.8	26	0	0x01	sky
372841.378	2412	0	20	0	-161114472.711	-846662269.179	2023.7	22	0	0x01	sky
372841.378	2412	0	4	0	21635217.392	113693825.125	-2110.3	42	43000	0x0f	synth
372841.378	2412	0	8	0	22418681.699	117810963.521	1537.2	40	43000	0x0f	synth
372841.378	2412	0	3	0	20826988.956	109446556.300	-2582.0	44	43000	0x0f	synth
372841.378	2412	0	7	0	22782583.463	119723278.145	-4328.9	40	43000	0x07	synth
372841.378	2412	0	20	3	-161114457.443	-659736770.574	1572.4	19	0	0x01	sky
372842.378	2412	0	5	0	-164160797.724	-862670815.192	2102.0	15	0	0x01	sky
372842.378	2412	0	13	0	-161062958.208	-846391558.308	1765.9	21	0	0x01	sky
372842.378	2412	0	21	0	-166131597.640	-873027438.419	661.8	26	0	0x01	sky
372842.378	2412	0	20	0	-161114857.026	-846664288.693	2028.9	21	0	0x01	sky
372842.378	2412	0	4	0	21635618.080	113695931.147	-2104.8	42	44000	0x0f	synth
372842.378	2412	0	8	0	22418388.451	117809422.018	1542.5	41	44000	0x0f	synth
372842.378	2412	0	3	0	20827479.470	109449133.701	-2576.2	44	44000	0x0f	synth
372842.378	2412	0	7	0	22783406.360	119727602.572	-4323.2	40	44000	0x07	synth
372842.378	2412	0	20	3	-161114842.091	-659738346.203	1572.9	19	0	0x01	sky
372843.378	2412	0	5	0	-164161195.522	-862672905.697	2078.2	15	0	0x01	sky
372843.378	2412	0	13	0	-161063293.513	-846393320.816	1766.3	21	0	0x01	sky
372843.378	2412	0	21	0	-166131722.650	-873028095.363	659.4	26	0	0x01	sky
372843.378	2412	0	20	0	-161115242.062	-846666311.701	2031.3	22	0	0x01	sky
372843.378	2412	0	4	0	21636018.683	113698036.247	-2104.4	43	45000	0x0f	synth
372843.378	2412	0	8	0	22418094.953	117807879.285	1543.8	41	45000	0x0f	synth
372843.378	2412	0	3	0	20827969.849	109451710.119	-2575.9	44	45000	0x0f	synth
372843.378	2412	0	7	0	22784229.125	119731925.809	-4321.7	40	45000	0x07	synth
372843.378	2412	0	20	3	-161115227.155	-659739922.397	1581.4	18	0	0x01	sky
372844.378	2412	0	5	0	-164161593.088	-862674994.552	2086.9	17	0	0x01	sky
372844.378	2412	0	13	0	-161063632.003	-846395099.773	1770.4	20	0	0x01	sky
372844.378	2412	0	21	0	-166131848.055	-873028754.614	659.4	27	260	0x03	sky
372844.378	2412	0	20	0	-161115625.772	-846668328.710	2022.7	22	0	0x01	sky
372844.378	2412	0	4	0	21636418.894	113700139.141	-2097.2	43	46000	0x0f	synth
372844.378	2412	0	8	0	22417800.828	117806334.120	1551.2	41	46000	0x0f	synth
372844.378	2412	0	3	0	20828459.702	109454284.244	-2568.2	44	46000	0x0f	synth
372844.378	2412	0	7	0	22785051.357	119736246.677	-4314.9	40	46000	0x07	synth
372844.378	2412	0	20	3	-161115612.682	-659741501.560	1576.6	18	0	0x01	sky
372845.378	2412	0	5	0	-164161989.406	-862677077.128	2075.7	20	0	0x01	sky
372845.378	2412	0	13	0	-161063968.953	-846396870.201	1764.9	21	0	0x01	sky
372845.378	2412	0	21	0	-166131972.088	-873029414.505	660.1	27	1260	0x03	sky
372845.378	2412	0	20	0	-161116010.199	-846670348.550	2029.8	21	0	0x01	sky
372845.378	2412	0	4	0	21636818.455	113702238.386	-2100.9	43	47000	0x0f	synth
372845.378	2412	0	8	0	22417506.124	117804785.035	1547.3	41	47000	0x0f	synth
372845.378	2412	0	3	0	20828948.861	109456854.680	-2572.7	45	47000	0x0f	synth
372845.378	2412	0	7	0	22785872.912	119740563.657	-4318.8	41	47000	0x07	synth
372845.378	2412	0	20	3	-161115998.004	-659743079.286	1572.5	18	0	0x01	sky
372847.004	2412	0	5	0	23507694.829	123533769.473	2082.4	22	0	0x01	sky
372847.004	2412	0	13	0	26605773.204	139814280.943	1777.9	20	0	0x01	sky
372847.004	2412	0	21	0	21537983.631	113182846.198	657.9	27	2260	0x0f	sky
372847.004	2412	0	20	0	26553682.873	139540544.687	2027.4	21	0	0x01	sky
372847.004	2412	0	4	0	209307298.337	1099917266.474	-2106.8	43	48000	0x0f	synth
372847.004	2412	0	8	0	210087291.832	1104016164.511	1541.9	41	48000	0x0f	synth
372847.004	2412	0	3	0	208499518.412	1095672353.832	-2577.8	45	48000	0x0f	synth
372847.004	2412	0	7	0	210456774.802	1105957809.233	-4324.0	41	48000	0x07	synth
372847.004	2412	0	20	3	26553696.906	108732949.479	1581.0	19	0	0x01	sky
372848.004	2412	0	5	0	23507300.182	123531695.866	2072.8	23	0	0x01	sky
372848.004	2412	0	13	0	26605437.903	139812519.105	1777.2	21	0	0x01	sky
372848.004	2412	0	21	0	21537860.645	113182188.361	657.7	27	3260	0x0f	sky
372848.004	2412	0	20	0	26553297.179	139538518.450	2021.6	22	0	0x01	sky
372848.004	2412	0	4	0	209307700.155	1099919377.612	-2118.4	43	49000	0x0f	synth
372848.004	2412	0	8	0	210086999.334	1104014626.787	1530.7	41	49000	0x0f	synth
372848.004	2412	0	3	0	208500009.860	1095674936.000	-2589.3	45	49000	0x0f	synth
372848.004	2412	0	7	0	210457598.521	1105962137.676	-4335.8	41	49000	0x07	synth
372848.004	2412	0	20	3	26553311.204	108731370.132	1574.6	19	0	0x01	sky
372849.004	2412	0	5	0	23506904.156	123529614.886	2083.8	23	0	0x01	sky
372849.004	2412	0	13	0	26605102.731	139810758.454	1764.5	21	0	0x01	sky
372849.004	2412	0	21	0	21537735.657	113181531.410	656.0	26	4260	0x0f	sky
372849.004	2412	0	20	0	26552910.525	139536485.770	2024.8	21	0	0x01	sky
372849.004	2412	0	4	0	209308102.197	1099921490.919	-2112.2	43	50000	0x0f	synth
372849.004	2412	0	8	0	210086707.118	1104013090.967	1536.9	41	50000	0x0f	synth
372849.004	2412	0	3	0	208500501.539	1095677520.234	-2582.8	45	50000	0x0f	synth
372849.004	2412	0	7	0	210458422.609	1105966468.042	-4329.7	41	50000	0x07	synth
372849.004	2412	0	20	3	26552925.768	108729792.040	1578.1	20	0	0x01	sky
372850.004	2412	0	5	0	23506507.342	123527529.265	2083.0	23	0	0x01	sky
372850.004	2412	0	13	0	26604767.283	139808995.618	1771.3	20	0	0x01	sky
372850.004	2412	0	21	0	21537611.061	113180875.087	656.4	26	5260	0x0f	sky
372850.004	2412	0	20	0	26552524.315	139534457.000	2027.9	21	0	0x01	sky
372850.004	2412	0	4	0	209308504.223	1099923603.049	-2110.9	43	51000	0x0f	synth
372850.004	2412	0	8	0	210086414.607	1104011553.709	1538.2	41	51000	0x0f	synth
372850.004	2412	0	3	0	208500993.117	1095680103.232	-2581.5	45	51000	0x0f	synth
372850.004	2412	0	7	0	210459246.474	1105970796.989	-4327.8	41	51000	0x07	synth
372850.004	2412	0	20	3	26552539.764	108728211.249	1576.5	21	0	0x01	sky
372851.004	2412	0	5	0	23506112.012	123525451.687	2084.4	21	0	0x01	sky
372851.004	2412	0	13	0	26604431.677	139807231.863	1762.4	21	0	0x01	sky
372851.004	2412	0	21	0	21537486.266	113180219.241	655.2	26	6260	0x0f	sky
372851.004	2412	0	20	0	26552140.564	139532440.225	2027.6	21	0	0x01	sky
372851.004	2412	0	4	0	209308905.948	1099925713.125	-2111.6	43	52000	0x0f	synth
372851.004	2412	0	8	0	210086121.677	1104010014.111	1538.3	41	52000	0x0f	synth
372851.004	2412	0	3	0	208501484.244	1095682684.112	-2582.1	45	52000	0x0f	synth
372851.004	2412	0	7	0	210460069.845	1105975123.671	-4328.1	40	52000	0x07	synth
372851.004	2412	0	20	3	26552154.364	108726633.366	1569.8	23	0	0x01	sky
372852.004	2412	0	5	0	23505716.392	123523372.746	2074.5	20	0	0x01	sky
372852.004	2412	0	13	0	26604097.389	139805475.008	1768.3	20	0	0x01	sky
372852.004	2412	0	21	0	21537361.136	113179563.537	656.3	26	7260	0x0f	sky
372852.004	2412	0	20	0	26551755.172	139530415.048	2027.7	20	0	0x01	sky
372852.004	2412	0	4	0	209309308.196	1099927826.837	-2115.2	43	53000	0x0f	synth
372852.004	2412	0	8	0	210085829.358	1104008477.893	1534.9	41	53000	0x0f	synth
372852.004	2412	0	3	0	208501976.154	1095685268.542	-2585.8	45	53000	0x0f	synth
372852.004	2412	0	7	0	210460893.852	1105979453.769	-4331.7	41	53000	0x07	synth
372852.004	2412	0	20	3	26551770.441	108725061.074	1578.3	24	0	0x01	sky
372853.004	2412	0	5	0	23505324.102	123521311.586	2074.2	21	0	0x01	sky
372853.004	2412	0	13	0	26603759.635	139803699.533	1774.6	21	0	0x01	sky
